website,email,name,description
www.ailmining.com,dmichaluk@ail.ca,AIL Mining,"
			Manufacturers and designers of corrugated structural plate, used for portals, conveyor covers, haul road overpasses/underpasses, and ground support structures. Manufacturers and designers of MSE crusher walls, modular bridges and sound walls.		"
www.thealadonnetwork.com,info@aladon.com,"Aladon Network, The","
			The Aladon Network is a global community of reliability professionals and thought leaders of maintenance and asset management certified by Aladon in the delivery of Aladonâ€™s advanced risk and reliability methodologies for physical assets.		"
www.accessconstructionequipment.com,photop@miniveyorusa.com,Access Construction Equipment,"
			Access Construction Equipment manufactures portable conveyors to withstand the rugged conditions of any job site. Miniconveyor systems are the ideal choice for moving iron ore, coal, loose materials, debris, rock, dirt, cement and more.		"
www.acutronic.com,marketing@acutronic.com,ACUTRONIC USA Inc.,"
			A worldwide recognized leader in the design and manufacture of motion simulation systems for the aviation, space, defense, maritime and automotive industries.		"
www.amepower.com,None,AmePower,None
www.aeroconditioner.com,None,AERO Conditioner Co.,"
			Aero Conditioner Company makes extremely high performance, harsh duty, industrial air conditioning units and self cleaning air filters/blowers.		"
www.allsitestructures.com,None,Allsite Structure Rentals,"
			Allsite Structure Rentals is a leading provider of ""All Weather"" Tensioned Fabric Structures (TFS). We provide both rental and sale options for temporary, semi permanent and permanent fabric structures needs.		"
www.minedoor.com,info@minedoor.com,American Mine Door,"
			American Mine Door is an OEM manufacturer with a long history of fabricating ventilation mine door products and specialty equipment to the underground mining industry across the globe; established in 1906 and based in Cleveland, OH.		"
www.analyticsystems.com,sales@analyticsystems.com,Analytic Systems,"
			Analytic Systems is an innovative Canadian manufacturer of power conversion products. We design and build a complete range of products including battery chargers, voltage converters, inverters, power supplies and frequency converters.		"
www.asahi-america.com,None,Asahi America Inc.,None
www.arcotex.cl,p.giuffra@arcotex.cl,Arcotex S.A.,"
			Arcotex manufactures flexible and rigid ducting for forced and exhaust ventilation with its corresponding accessories such as tee, yee, reductions and Roll Up door, PVC curtains, static pressure balloons, flexible container, ducting for bioleaching.		"
www.apcglobal.com,sales@apcglobal.com,APC Global,"
			APC Global Systems is a provider of turn-key solutions for optimizing overall asset and personnel effectiveness. We apply lean production principles to improve efficiency in operational mining, specifically around ore, people and material flow.		"
www.barr.com,askbarr@barr.com,Barr Engineering Co.,"
			For more than four decades, Barr has provided engineering and environmental services to clients in the mining and minerals-processing industries, from mine planning and permitting through process and materials handling design to mineland reclamation.		"
www.atilla.com.tr,atilla@atilla.com.tr,Atilla Makina,"
			Atilla Makina is a construction company dealing with industrial plants in the fields of mining. Besides all disciplines of site works, Atilla Makina manufactures steel structures & special mining equipment (tanks, vessels, thickeners, conveyors, etc)		"
alternativeblastingco.com,Tom@alternativeblastingco.com,Autostem Alternative Blasting Company,"
			Autostem is the World's only self-stemming, non-detonating power cartridge.Uses in underground mining,quarries & civil blasting. Autostem does not detonate,no shock wave,no air blast or poisonous gases, Autostem is the Future of Blasting.		"
www.anicamenterprises.com,None,Anicam Enterprises Inc.,None
www.bearingseat.com,1105714497@qq.com,"Anhui Tianli Heavy Industry Co., Ltd.","
			The manufacturer of roller bearing housing, mechanical seals and rollers, for more than eight years. Our product with types: TK, TKII, TKIII, DTII for bearing 204, 205, 305, 306, 307, 308, 309, 310, 312. Passed ISO9001 system.		"
www.sinowrubber.com,blingsinowrubber@163.com,"Anhui Sinow Rubber Products Co., Ltd.",None
www.sandytools.com,None,"Anhui Sandy Rocktools Co., Ltd.","
			SDT rock tools covers DTH hammer and bit, top hammer, rod, etc. We continue to progress in the field of materials, processing areas, to offer you and other customers all over the world the most competitive products.		"
www.ahfangyuan.com,ahfy@ahfangyuan.com,"Anhui Fangyuan Plastic & Rubber Co., Ltd.","
			Fangyuan has experienced more than 20 years development in the mining industry. The products include high frequency vibrating screen, polyurethane fine screen, cyclone, CPU (MDI,TDI) moulding screen, TPU wire screen. Aperture sizes are from 0.075 to 200 mm.		"
www.anfacorp.cn,anfacorp@yahoo.com,ANFA Wear Resistant Casting,"
			ANFA Wear Resistant Casting Inc. is founded in YunNan province invested by YongKang ANFA Co., Ltd. and YunNan JinYa Casting Co., Ltd. Supplying manganese steel casting, specializing crusher spare parts.		"
www.andyegan.com,None,"Andy J. Egan Co., Inc.","
			Construction technology company 3D Imaging Services will join mechanical contractor and fabricator Andy J. Egan to demonstrate how 3-D laser scanning is incorporated into the fabrication of pipe spools, skid packages and more.		"
www.andritz.com/pumps,ritz@andritz.com,ANDRITZ Ritz GmbH,"
			ANDRITZ is a leading manufacturer of pumps and motors for water management and emergency drainage in surface and underground mining. Our products for mining application include single flow and double suction submersible motor pumps and high pressure pumps.		"
www.andritz.com,separation.us@andritz.com,ANDRITZ,"
			ANDRITZ technology solutions offer new ways to automate your existing equipment (automation) and a range of solid-liquid separation and drying equipment (separation). Our solutions help increase the performance and profitability of your operations.		"
www.mktm.com.cn,mktm@mktm.com.cn,"Beijing Tianma Electro-Hydraulic Conrol System Co., Ltd.","
			As subsidiary of CCTEG, Tianma is a leading solution and system provider of electro-hydraulic control technology for unmanned longwall mining, with more than 50 percent of the market share in China. We are certified by QMS, EMS, OHSAS and GOST-R.		"
www.terranrubber.com,sales@terranrubber.com,"Beijing Terran Rubber Co., Ltd.","
			Supplier for rubber sheet, pulley lagging, ceramic lagging, rubber matting, impact bar, silicone sheet and orther rubber products.		"
www.mingyuetech.com,jennifer.liu@mingyuetech.com,"Beijing Moon Technology Co., Ltd.","
			We are a professional screen media manufacturer in China, found in 1986, located both in Hebei and Beijing. Our main products include polyurethane module screen, self cleaning screen with polyurethane strips, polyurethane tension screen and so on.		"
www.joint-union.cn,zhongheguoji@126.com,"Beijing Joint-Union Exhibition Co., Ltd.","
			Beijing Joint-Union Exhibition Co., Ltd. is a Beijing-based company that specializes in the organization of overseas exhibitions. Your choice with us will be the best choice of all!		"
www.behlen.ca,rvillamizar@behlen.ca,Behlen Industries LP,"
			At BEHLEN, weâ€™re Canadaâ€™s largest manufacturer of steel building systems. Today, we sell steel structures including industrial, commercial, recreational and institutional facilities.		"
www.beckerminingamerica.com,None,Becker Mining America,None
www.bcirubber.com,None,Beauce Caoutchouc Inc.,None
www.bdi-usa.com,None,Bearing Distributors Inc.,None
www.bdiwearparts.com,don@bdiwearparts.com,BDI Wear Parts,"
			BDI Wear Parts is a dynamically growing company with many years of experience in production and supplying crusher wear parts and crusher spare parts. We supply wear parts to U.S.A., Canada, Europe, Australia and Africa.		"
www.ugc.basf.com,martijn-k.mannot-russell@basf.com,BASF Construction Chemicals Europe AG,"
			BASF Construction Chemicals is dedicated to providing solutions for underground excavation, mining and construction. From mine infrastructure to underground development, mining and mine backfill, injection to mineral processing and tailings management.		"
